deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
chunk_000.wav,1.9240764,1.7041138,2.437699,2.5258186,2.8513637,NISQAv2
chunk_001.wav,3.811516,4.4168887,4.0770383,3.778455,4.1898303,NISQAv2
chunk_002.wav,3.4230187,4.272281,3.8403773,3.4944658,3.9900446,NISQAv2
chunk_003.wav,3.3919747,4.422418,3.5995638,3.4301512,3.944824,NISQAv2
chunk_004.wav,1.7964845,3.792812,1.8481059,2.167603,3.2481277,NISQAv2
chunk_005.wav,3.776659,4.0555043,4.150542,3.773773,3.9994202,NISQAv2
chunk_006.wav,3.0408623,3.9184177,3.0734317,2.9871264,3.9095032,NISQAv2
chunk_007.wav,3.1068637,4.3615737,3.1990159,3.3240025,3.738386,NISQAv2
chunk_008.wav,3.79098,4.332052,4.2397046,3.9801168,4.1461344,NISQAv2
chunk_009.wav,3.6799467,4.2479973,3.993873,3.7271066,4.0170236,NISQAv2
chunk_010.wav,2.8460603,4.0029488,2.758498,2.7982728,3.7036865,NISQAv2
chunk_011.wav,2.856386,4.007824,2.9311566,2.6774142,3.6999924,NISQAv2
chunk_012.wav,3.1861591,4.155337,3.0940883,3.1549208,3.6891825,NISQAv2
chunk_013.wav,3.849099,4.376807,3.848027,3.7805722,3.9576416,NISQAv2
chunk_014.wav,3.805726,4.300219,4.1420774,3.8537838,3.9534373,NISQAv2
chunk_015.wav,3.5384848,4.152824,3.8083074,3.3610492,3.8862333,NISQAv2
chunk_016.wav,2.444719,3.9830034,2.8824177,2.4643242,3.2652915,NISQAv2
chunk_017.wav,3.6548722,4.2645307,3.7611964,3.4788864,3.9829087,NISQAv2
chunk_018.wav,4.045503,4.4123106,4.272198,3.9394336,4.2072263,NISQAv2
chunk_019.wav,3.4366367,4.1420794,3.0138335,3.3853106,3.9095657,NISQAv2
chunk_020.wav,3.4613273,4.1386924,3.3953106,3.4447134,3.8492568,NISQAv2
chunk_021.wav,2.989449,4.0376096,3.1419969,3.2352974,3.931547,NISQAv2
chunk_022.wav,3.799705,4.208784,3.9584777,3.6891968,4.093908,NISQAv2
chunk_023.wav,3.359568,4.1537666,3.5261512,3.2019026,3.7559469,NISQAv2
chunk_024.wav,3.6972363,4.2315354,3.4840257,3.542424,4.0950394,NISQAv2
chunk_025.wav,3.605024,4.2693753,3.708646,3.6898901,4.1001925,NISQAv2
chunk_026.wav,3.0658247,4.0787015,2.8210554,3.1552742,3.7270987,NISQAv2
chunk_027.wav,2.9677548,3.6746368,3.3398201,3.0502646,3.6105335,NISQAv2
chunk_028.wav,3.4167376,4.1985517,4.0765142,3.4805067,3.9805148,NISQAv2
chunk_029.wav,3.8719225,4.1565814,4.1101627,3.8275523,4.038654,NISQAv2
chunk_030.wav,2.7556021,4.1870775,2.1540046,3.2946234,3.8724642,NISQAv2
chunk_031.wav,3.2218394,3.9775379,3.367286,3.2207084,3.839403,NISQAv2
chunk_032.wav,3.5344176,4.162854,3.5989168,3.3540046,3.9428346,NISQAv2
chunk_033.wav,3.80036,4.4249415,4.237215,3.8998923,4.066803,NISQAv2
chunk_034.wav,2.6517377,3.4006603,2.630973,2.9023943,3.4814043,NISQAv2
